Player,Team,Age,Position,G,GS,Completions,Attempts,Cmp%,Yards,TD,TD%,Int,Int%,First_Downs,Longest_completion,Y/A,AY/A,Y/C,Y/G,Rate,Sacks,Sack_Yards_Lost,NY/A,ANY/A,Sk%,4th_Q_comebacks,Game_winning_drives
Brett Rypien,DEN,24,QB,3,1,27,40,67.5,295,2,5,4,10,12,48,7.4,3.9,10.9,98.3,66.1,1,0,7.2,3.78,2.4,1,1
Garrett Gilbert,DAL,29,QB,1,1,21,38,55.3,243,1,2.6,1,2.6,10,32,6.4,5.7,11.6,243,72.6,2,23,5.5,4.88,5,0,0
Chad Henne,KAN,35,QB,3,1,28,38,73.7,248,2,5.3,0,0,15,37,6.5,7.6,8.9,82.7,108.2,2,4,6.1,7.1,5,0,0
John Wolford,LAR,25,QB,1,1,22,38,57.9,231,0,0,1,2.6,12,38,6.1,4.9,10.5,231,64.7,2,8,5.58,4.45,5,0,0
Ryan Finley,CIN,26,QB,5,1,17,32,53.1,164,1,3.1,2,6.3,8,30,5.1,2.9,9.6,32.8,52.1,9,63,2.46,0.76,22,0,0
Tyrod Taylor,LAC,31,QB,2,1,16,30,53.3,208,0,0,0,0,10,37,6.9,6.9,13,104,75.4,2,1,6.47,6.47,6.3,1,1
Marcus Mariota,LVR,27,QB,1,0,17,28,60.7,226,1,3.6,1,3.6,11,35,8.1,7.2,13.3,226,83.3,0,0,8.07,7.18,0,0,0
Brian Hoyer,NWE,35,QB,1,1,15,24,62.5,130,0,0,1,4.2,8,25,5.4,3.5,8.7,130,59.4,2,18,4.31,2.58,7.7,0,0
Matt Barkley,BUF,30,QB,5,0,11,21,52.4,197,1,4.8,1,4.8,9,56,9.4,8.2,17.9,39.4,80.9,1,7,8.64,7.5,4.5,0,0
Taylor Heinicke,WAS,27,QB,1,0,12,19,63.2,137,1,5.3,0,0,6,29,7.2,8.3,11.4,137,102.3,1,7,6.5,7.5,5,0,0
Blaine Gabbert,TAM,31,QB,4,0,9,16,56.3,143,2,12.5,0,0,5,35,8.9,11.4,15.9,35.8,125.8,1,7,8,10.35,5.9,0,0
Chris Streveler,ARI,25,QB,5,0,11,16,68.8,105,1,6.3,1,6.3,5,19,6.6,5,9.5,21,81.5,2,10,5.28,3.89,11.1,0,0
Robert Griffin III,BAL,30,QB,4,1,8,14,57.1,42,0,0,2,14.3,1,9,3,-3.4,5.3,10.5,22.6,3,20,1.29,-4,17.6,0,0
Nate Sudfeld,PHI,27,QB,1,0,5,12,41.7,32,0,0,1,8.3,1,10,2.7,-1.1,6.4,32,14.6,2,16,1.14,-2.07,14.3,0,0
Jameis Winston,NOR,26,QB,4,0,7,11,63.6,75,0,0,0,0,5,19,6.8,6.8,10.7,18.8,83.5,2,11,4.92,4.92,15.4,0,0
David Blough,DET,25,QB,1,0,6,10,60,49,0,0,1,10,1,20,4.9,0.4,8.2,49,32.9,1,10,3.55,-0.55,9.1,0,0
Case Keenum,CLE,32,QB,2,0,5,10,50,46,0,0,0,0,2,24,4.6,4.6,9.2,23,62.9,0,0,4.6,4.6,0,0,0
Trace McSorley,BAL,25,QB,2,0,3,10,30,90,1,10,0,0,2,70,9,11,30,45,97.9,0,0,9,11,0,0,0
